timestamp_ms,equity
1673395200000,200.0
1673518620000,196.5852
1673552880000,198.5671
1673668800000,202.7374
1676493120000,206.0853
1676500200000,209.4312
1676512860000,212.7791
1678683900000,216.2926
1678716480000,218.3971
1678720020000,220.5051
1679108400000,223.0633
1679238300000,224.5353
1679432460000,230.4677
1679439840000,232.6917
1679486580000,228.8632
1679929200000,224.9436
1680116460000,227.1714
1680197520000,223.3192
1680247320000,219.491
1680296040000,220.9916
1680541740000,217.2033
1680606420000,218.6617
1680654240000,220.1206
1681168200000,221.574
1681376520000,223.7686
1681390980000,225.2318
1681452060000,226.6947
1682538420000,222.8354
1682539260000,218.9538
1682539320000,215.0904
1682867880000,216.5101
1682900700000,217.929
1683295320000,219.368
1683360060000,215.6748
1683825420000,211.9608
1684222500000,213.3604
1685311320000,215.4705
1685603760000,211.8138
1685980680000,208.1835
1687058100000,210.2444
1687187580000,206.7087
1687283160000,208.0743
1687301700000,210.0876
1687309440000,211.4765
1687398000000,214.9682
1687420020000,217.0619
1687532700000,218.4934
1687741260000,214.7528
1687813740000,211.0912
1689228180000,212.4842
1689263040000,213.8787
1689267780000,215.2695
1689272580000,220.9195
1689291720000,224.4731
1689311160000,228.119
1689350760000,230.3429
1689358740000,226.7067
1690896960000,228.2037
1691878320000,229.7109
1692126420000,225.803
1692126540000,221.8867
1692283260000,218.0048
1693318920000,219.4431
1693319160000,220.8833
1693319580000,222.3223
1693405620000,218.5196
1693501200000,214.7193
1693796940000,216.1118
1694045940000,217.5806
1694590680000,219.0176
1694652360000,220.4549
1694745480000,222.6387
1694830200000,224.8446
1695092640000,226.3298
1695117720000,227.7672
1695601320000,223.8753
1695972780000,225.329
1696021440000,226.8079
1696138920000,228.2963
1696198620000,229.7928
1696255860000,225.8916
1696373940000,227.3802
1696639380000,228.8818
1696844940000,225.018
1696845000000,221.1263
1697547660000,217.3502
1697550480000,213.7657
1697650980000,215.0808
1697679840000,211.2943
1697679840000,207.5157
1697749380000,210.9421
1697787660000,212.9974
1697790360000,215.053
1697815200000,217.1423
1697869800000,219.2733
1697896560000,221.425
1697953020000,223.5959
1697992020000,225.0165
1698015300000,226.4773
1698030000000,230.1702
1698093420000,232.4124
1698146340000,234.7125
1698867120000,230.7053
1698913560000,232.9907
1701671520000,234.5299
1703577720000,236.0774
1704419340000,232.0328
1704666900000,228.1981
1704680220000,224.1603
1704738900000,225.7192
1704740400000,228.5725
1704821520000,234.6103
1704846780000,236.1162
1704891300000,232.1036
1704913200000,233.9878
1704915720000,236.3216
1704945120000,240.2158
1705054140000,242.5948
1705073940000,238.4831
1706401140000,240.0573
1706413560000,241.6319
1706422980000,247.9531
1706543520000,249.5495
1706602980000,251.1836
1706659620000,246.8827
1706736300000,242.6578
1706856180000,245.0605
1707110280000,246.609
1707324060000,248.2681
1707324900000,249.8657
1707446820000,251.5125
1707480600000,253.9798
1707516060000,256.4699
1707765600000,258.1455
1707888300000,259.7747
1709729160000,255.3316
1710213000000,257.858
1712803560000,259.5531
1713765600000,262.1216
1713968460000,257.6397
1713968760000,253.1934
1713976140000,248.7086
1714970940000,250.3497
1714973940000,251.9928
1715041200000,247.735
1715725200000,243.5055
1715779980000,249.905
1715789400000,253.8779
1715789820000,255.5139
1715822040000,259.6988
1715929980000,261.3861
1716044580000,265.7001
1716233580000,267.455
1716242100000,269.1047
1716453360000,264.6551
1716790920000,260.1215
1720010040000,255.6713
1720877220000,259.8938
1721050860000,262.4641
1721068020000,265.0373
1721087220000,269.3709
1721142480000,271.9898
1721191980000,273.706
1721232960000,269.0653
1721457420000,271.7316
1721567580000,273.5081
1721574240000,276.1984
1721609280000,277.9769
1722008700000,280.7312
1722049200000,282.9017
1722258000000,286.183
1722266100000,281.3484
1722440460000,276.5859
1723158660000,283.8903
1723206540000,279.0296
1723213920000,274.2894
1723298460000,276.1326
1723300800000,283.195
1723339200000,278.3452
1723404360000,273.626
1723408680000,268.7727
1723564560000,270.599
1723702920000,266.1326
1723744920000,261.5393
1724115720000,263.2658
1724262420000,264.9931
1724427660000,266.7432
1724479200000,270.3174
1726065840000,265.6885
1726076760000,267.4734
1726100700000,271.7143
1726241040000,273.5054
1726249560000,275.2883
1726358760000,277.1065
1726684500000,278.9367
1726702020000,280.7638
1726705500000,288.1179
1726895880000,290.0157
1727101140000,292.8896
1727208420000,294.8047
1727408640000,296.6116
1728302400000,300.0193
1728405840000,301.9788
1728744600000,303.9596
1728750240000,305.9544
1728813000000,307.9492
1728915900000,310.9994
1728988260000,313.0335
1729738200000,315.1016
1730134920000,309.7151
1730167740000,311.7967
1730167920000,313.877
1730200500000,318.8109
1730862360000,327.2242
1730877960000,332.4851
1730881380000,326.7914
1730906280000,330.031
1730924580000,334.4084
1731228660000,336.5146
1733777520000,330.7548
1733970240000,334.0322
1733971380000,337.2954
1733972160000,340.5669
1733980800000,349.5579
1734131040000,351.8666
1734312000000,354.1118
1734341640000,356.4336
1734445320000,358.6773
1735740120000,361.0437
1736179800000,363.4277
1736926080000,367.0263
1736953200000,372.492
1736985300000,378.6441
1737146100000,381.0991
1737574500000,383.6158
1738248300000,387.4171
1738283760000,391.2092
1738398720000,384.5171
1739296080000,377.9406
1739768520000,371.4847
1739857500000,365.0189
1740089040000,368.6362
1740152400000,362.3963
1740246660000,364.7874
1741031760000,358.5405
1741191900000,352.395
1741306560000,346.3669
1742835060000,348.6536
1743009900000,342.7223
1743225660000,336.7709
1743556920000,331.0144
1744580160000,325.3981
1744597680000,327.5823
1744598940000,329.7685
1744825800000,324.163
1745084220000,326.3385
1745255100000,320.7566
1745334240000,326.0486
1745364780000,328.1948
1745374500000,331.3355
1745460540000,334.6113
1745542500000,340.1378
1745618160000,334.3163
1745631180000,337.687
1745771580000,331.9118
1745883720000,334.1423
1745957100000,328.5619
1746007200000,332.2458
1746594000000,337.8592
1746673680000,340.0528
1746684000000,344.5244
1746698040000,346.7169
1747316880000,340.7895
1747448040000,334.9622
1747591260000,329.2279
1747674240000,332.4854
1747705200000,334.6593
1747717200000,336.8343
1747839060000,340.1715
1748330760000,342.4163
1748333100000,344.6585
1748480340000,346.9042
1749041940000,340.9727
1749045120000,335.031
1749275100000,338.3505
1749383580000,340.5803
1749499380000,342.8152
1749511380000,345.0502
1749573000000,348.4694
1749758460000,342.5979
1750179660000,336.7369
1750782120000,340.0728
1750782300000,343.4081
1750812900000,345.6299
1750906380000,349.0536
1751233920000,351.3594
1751235540000,357.1245
1751238120000,360.5821
1751278680000,354.4636
1751359920000,348.3456
1751472300000,354.0988
1751472840000,359.8419
1751490780000,365.5882
1751519340000,369.0947
1751525160000,372.6552
1752089820000,375.1166
1752210420000,377.5784
1752214620000,381.2883
1752501780000,383.807
1753902300000,377.2357
1753902300000,370.6616
1753902360000,364.0953
1754007180000,357.8564
1754361780000,360.2615
1754661900000,363.8294
1754812920000,357.6005
1754905860000,359.9987
1754927340000,362.3783
1755174780000,356.1863
1757104200000,359.716
1757187900000,353.6335
1757326020000,355.9847
1757356320000,359.4884
1757383200000,363.0162
1757565000000,365.3273
1757648280000,368.9426
1757726220000,371.3558
1757739600000,373.9565
1757822220000,367.56
1757894760000,369.9704
1757926080000,363.5652
1758099600000,366.5261
1758138060000,368.9262
1758145740000,371.3268
1759188180000,377.4567
1759207860000,370.9894
1759307460000,374.6631
1759308180000,377.1099
1759311780000,386.9112
1759313640000,380.2851
1759338000000,386.5654
1759343280000,396.7761
1759345440000,407.2571
1759372500000,413.9833
1759460580000,418.0851
1759504860000,420.8164
1759506060000,423.5504
1759719060000,426.347
1760130780000,419.0676
1761019320000,411.8834
1761307860000,414.604
1761314580000,407.5015
1761444060000,411.5343
1761460140000,418.2512
1761479220000,425.037
1761486000000,436.0751
1761508800000,443.3618
1761523200000,448.2054
1762202460000,441.0661
1762760460000,448.3494
1762830600000,452.7901
1762846620000,445.1228
1762877340000,437.4424
1762963500000,429.9929
1764563580000,422.6449
1764716400000,431.054
1764730800000,435.3023
1764738300000,439.4898
1764810840000,446.7422
1764952560000,439.2174
1765404780000,431.6955
1766343240000,434.597
1767351600000,439.1944
1767359880000,431.7586
1767365400000,436.0619
1767414180000,440.3367
1767595320000,432.8095
1767721740000,425.3994
1768090680000,428.2095
1768334460000,431.0348
1768343220000,433.8625
1768451520000,436.6798
1768497240000,429.2311
1768576860000,421.8036
1768590060000,424.5976
1768648980000,427.445
1768779960000,420.1305
1768780080000,412.8189
1768780860000,405.5052
1770294600000,398.575
1771071240000,402.5242
1771103460000,413.1549
1771128960000,417.1034
1771144140000,410.0222
1771160280000,402.9513
1771182240000,395.8699
1771808460000,389.0891
1772055360000,395.514
1772118900000,388.8659
1772199000000,382.2271
1772211540000,375.5642
1772367840000,369.1401
1772383800000,362.7116
1772421240000,365.1927
1772499900000,371.218
1772672400000,374.6122
1772807640000,368.3012
1773291300000,361.9901
1773594060000,365.5768
1773622380000,359.3429
1773631980000,361.7334
1773643440000,367.7715
1773686580000,361.4715
1773830640000,355.1743
1774466820000,357.5206
1774470600000,351.4498
1775433660000,357.2545
1775442720000,359.574
1775467320000,363.0562
1775595960000,365.41
1775597820000,375.0644
1775598360000,378.6622
1775599560000,382.26
1775633340000,388.5008
1775773020000,391.026
1775905200000,389.1645
1775905200000,387.8711
1775905200000,383.7751
1776557324139,383.7751
